index,jersey_number,player.id,player.name,position.id,position.name,match_id
1,18,15615,Pauline Peyraud Magnin,1,Goalkeeper,19717
1,17,10179,Lisa Evans,2,Right Back,19717
1,20,10666,Dominique Johanna Anna Bloodworth,3,Right Center Back,19717
1,16,15621,Louise Quinn,5,Left Center Back,19717
1,15,15620,Katie McCabe,6,Left Back,19717
1,8,10192,Jordan Nobbs,13,Right Center Midfield,19717
1,19,10405,Lia Wälti,14,Center Midfield,19717
1,10,15616,Kim Little,15,Left Center Midfield,19717
1,7,10658,Danielle van de Donk,17,Right Wing,19717
1,23,15619,Bethany Mead,21,Left Wing,19717
1,11,15623,Vivianne Miedema,23,Center Forward,19717
2,1,15626,Anke Preuß,1,Goalkeeper,19717
2,6,15614,Sophie Elizabeth Bradley-Auckland,3,Right Center Back,19717
2,12,15622,Leandra Little,4,Center Back,19717
2,2,15618,Jasmine Matthews,5,Left Center Back,19717
2,44,15629,Satara Murray,12,Right Midfield,19717
2,10,15628,Christie Murray,13,Right Center Midfield,19717
2,5,19777,Niamh Fahey,14,Center Midfield,19717
2,8,19416,Laura Coombs,15,Left Center Midfield,19717
2,3,15630,Leigh-Anne Robe,16,Left Midfield,19717
2,7,15218,Jessica Anne Clarke,23,Center Forward,19717
2,17,15631,Niamh Charles,25,Secondary Striker,19717
1772,1,15626,Anke Preuß,1,Goalkeeper,19717
1772,44,15629,Satara Murray,3,Right Center Back,19717
1772,6,15614,Sophie Elizabeth Bradley-Auckland,4,Center Back,19717
1772,2,15618,Jasmine Matthews,5,Left Center Back,19717
1772,20,15613,Rinsola Babajide,12,Right Midfield,19717
1772,10,15628,Christie Murray,13,Right Center Midfield,19717
1772,5,19777,Niamh Fahey,14,Center Midfield,19717
1772,8,19416,Laura Coombs,15,Left Center Midfield,19717
1772,3,15630,Leigh-Anne Robe,16,Left Midfield,19717
1772,7,15218,Jessica Anne Clarke,23,Center Forward,19717
1772,17,15631,Niamh Charles,25,Secondary Striker,19717
2920,18,15615,Pauline Peyraud Magnin,1,Goalkeeper,19717
2920,12,15612,Jessica Marie Samuelsson,2,Right Back,19717
2920,20,10666,Dominique Johanna Anna Bloodworth,3,Right Center Back,19717
2920,16,15621,Louise Quinn,5,Left Center Back,19717
2920,15,15620,Katie McCabe,6,Left Back,19717
2920,10,15616,Kim Little,9,Right Defensive Midfield,19717
2920,19,10405,Lia Wälti,11,Left Defensive Midfield,19717
2920,23,15619,Bethany Mead,17,Right Wing,19717
2920,8,10192,Jordan Nobbs,19,Center Attacking Midfield,19717
2920,7,10658,Danielle van de Donk,21,Left Wing,19717
2920,11,15623,Vivianne Miedema,23,Center Forward,19717
3160,1,15626,Anke Preuß,1,Goalkeeper,19717
3160,44,15629,Satara Murray,3,Right Center Back,19717
3160,6,15614,Sophie Elizabeth Bradley-Auckland,4,Center Back,19717
3160,2,15618,Jasmine Matthews,5,Left Center Back,19717
3160,20,15613,Rinsola Babajide,12,Right Midfield,19717
3160,10,15628,Christie Murray,13,Right Center Midfield,19717
3160,5,19777,Niamh Fahey,14,Center Midfield,19717
3160,8,19416,Laura Coombs,15,Left Center Midfield,19717
3160,3,15630,Leigh-Anne Robe,16,Left Midfield,19717
3160,9,15611,Courtney Sweetman-Kirk,23,Center Forward,19717
3160,7,15218,Jessica Anne Clarke,25,Secondary Striker,19717
3424,18,15615,Pauline Peyraud Magnin,1,Goalkeeper,19717
3424,12,15612,Jessica Marie Samuelsson,2,Right Back,19717
3424,20,10666,Dominique Johanna Anna Bloodworth,3,Right Center Back,19717
3424,16,15621,Louise Quinn,5,Left Center Back,19717
3424,15,15620,Katie McCabe,6,Left Back,19717
3424,19,10405,Lia Wälti,10,Center Defensive Midfield,19717
3424,8,10192,Jordan Nobbs,13,Right Center Midfield,19717
3424,7,10658,Danielle van de Donk,15,Left Center Midfield,19717
3424,23,15619,Bethany Mead,17,Right Wing,19717
3424,24,15610,Ava Kuyken,21,Left Wing,19717
3424,11,15623,Vivianne Miedema,23,Center Forward,19717
1,1,15576,Kirstie Levell,1,Goalkeeper,19726
1,20,18254,Megan Finnigan,3,Right Center Back,19726
1,6,15574,Georgia Brougham,4,Center Back,19726
1,4,15575,Gabrielle George,5,Left Center Back,19726
1,2,15578,Faye Bryson,7,Right Wing Back,19726
1,14,19687,Taylor Hinds,8,Left Wing Back,19726
1,12,15577,Angharad James,13,Right Center Midfield,19726
1,13,15573,Abbey-Leigh Stringer,15,Left Center Midfield,19726
1,10,15559,Simone Magill,17,Right Wing,19726
1,8,15579,Inessa Kaagman,21,Left Wing,19726
1,16,18253,Hannah Cain,23,Center Forward,19726
2,28,19421,Carly Mitchell Telford,1,Goalkeeper,19726
2,7,19422,Jessica Carter,2,Right Back,19726
2,4,4642,Millie Bright,3,Right Center Back,19726
2,16,4633,Magdalena Lilly Eriksson,5,Left Center Back,19726
2,20,10222,Jonna Ann-Charlotte Andersson,6,Left Back,19726
2,5,15549,Sophie Louise Ingle,10,Center Defensive Midfield,19726
2,8,15553,Karen Julia Carney,13,Right Center Midfield,19726
