player_id,team_id,player_name,player_nickname,jersey_number,country.id,country.name,position_id,position,from,to,from_period,to_period,start_reason,end_reason,match_id
3109,217,Malcom Filipe Silva de Oliveira,Malcom,14,31,Brazil,,,,,,,,,15946
3501,217,Philippe Coutinho Correia,Philippe Coutinho,7,31,Brazil,2,Right Back,45:00,45:00,2,2,Substitution - On (Tactical),Tactical Shift,15946
3501,217,Philippe Coutinho Correia,Philippe Coutinho,7,31,Brazil,15,Left Center Midfield,45:00,76:18,2,2,Tactical Shift,Tactical Shift,15946
3501,217,Philippe Coutinho Correia,Philippe Coutinho,7,31,Brazil,21,Left Wing,76:18,,2,,Tactical Shift,Final Whistle,15946
5203,217,Sergio Busquets i Burgos,Sergio Busquets,5,214,Spain,13,Right Center Midfield,00:00,45:00,1,2,Starting XI,Tactical Shift,15946
5203,217,Sergio Busquets i Burgos,Sergio Busquets,5,214,Spain,10,Center Defensive Midfield,45:00,84:07,2,2,Tactical Shift,Substitution - Off (Tactical),15946
5211,217,Jordi Alba Ramos,Jordi Alba,18,214,Spain,6,Left Back,00:00,,1,,Starting XI,Final Whistle,15946
5213,217,Gerard Piqué Bernabéu,Gerard Piqué,3,214,Spain,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle,15946
5246,217,Luis Alberto Suárez Díaz,Luis Suárez,9,242,Uruguay,22,Right Center Forward,00:00,45:00,1,2,Starting XI,Tactical Shift,15946
5246,217,Luis Alberto Suárez Díaz,Luis Suárez,9,242,Uruguay,23,Center Forward,45:00,,2,,Tactical Shift,Final Whistle,15946
5470,217,Ivan Rakitić,,4,56,Croatia,15,Left Center Midfield,00:00,45:00,1,2,Starting XI,Tactical Shift,15946
5470,217,Ivan Rakitić,,4,56,Croatia,13,Right Center Midfield,45:00,84:22,2,2,Tactical Shift,Tactical Shift,15946
5470,217,Ivan Rakitić,,4,56,Croatia,10,Center Defensive Midfield,84:22,,2,,Tactical Shift,Final Whistle,15946
5477,217,Ousmane Dembélé,,11,78,France,16,Left Midfield,00:00,45:00,1,2,Starting XI,Tactical Shift,15946
