match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_group,home_team.country.id,home_team.country.name,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_group,away_team.country.id,away_team.country.name,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name,id_manager_away,name_manager_away,nickname_manager_away,dob_manager_away,country.id_manager_away,country.name_manager_away,id_manager_home,name_manager_home,nickname_manager_home,dob_manager_home,country.id_manager_home,country.name_manager_home
9575,2017-08-20,20:15:00.000,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,218,Real Betis,male,,214,Spain,1.1.0,2,,1,Regular Season,342,Camp Nou,214,Spain,2624,Daniel Jesús Trujillo Suárez,214,Spain,238,Enrique Setién Solar,Quique Setién,1958-09-27,214,Spain,227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,214,Spain
9581,2017-08-26,18:15:00.000,0,2,available,scheduled,2022-02-04T12:35:34.095010,2021-06-13T16:17:31.694,2,11,Spain,La Liga,1,2017/2018,206,Deportivo Alavés,male,,214,Spain,217,Barcelona,male,,214,Spain,1.1.0,2,2,1,Regular Season,348,Estadio de Mendizorroza,214,Spain,2728,Carlos del Cerro Grande,214,Spain,227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,214,Spain,511,Luis Francisco Zubeldía,Luis Zubeldía,1981-01-13,11,Argentina
9592,2017-09-09,20:45:00.000,5,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,3,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,214,Espanyol,male,,214,Spain,1.1.0,2,,1,Regular Season,342,Camp Nou,214,Spain,183,Jesús Gil Manzano,214,Spain,236,Enrique Sánchez Flores,Quique Sánchez Flores,1965-02-05,214,Spain,227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,214,Spain
9602,2017-09-16,16:15:00.000,1,2,available,scheduled,2022-02-04T13:57:30.602817,2021-06-13T16:17:31.694,4,11,Spain,La Liga,1,2017/2018,216,Getafe,male,,214,Spain,217,Barcelona,male,,214,Spain,1.1.0,2,2,1,Regular Season,354,Coliseum Alfonso Pérez,214,Spain,222,David Fernández Borbalan,214,Spain,227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,214,Spain,228,José Bordalás Jiménez,José Bordalás,1964-03-05,214,Spain
9609,2017-09-19,22:00:00.000,6,1,available,scheduled,2022-02-04T14:40:31.817331,2021-06-13T16:17:31.694,5,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,322,Eibar,male,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2608,Alejandro José Hernández Hernández,214,Spain,221,José Luis Mendilibar Etxebarria,José Luis Mendilibar,1961-03-14,214,Spain,227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,214,Spain
9620,2017-09-23,20:45:00.000,0,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,6,11,Spain,La Liga,1,2017/2018,211,Girona,male,,214,Spain,217,Barcelona,male,,214,Spain,1.0.2,2,,1,Regular Season,343,Estadi Municipal de Montilivi,214,Spain,2625,José María Sánchez Martínez,214,Spain,227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,214,Spain,234,Pablo Javier Machín Díez,Pablo Machín,1975-04-07,214,Spain
9636,2017-10-01,16:15:00.000,3,0,available,scheduled,2022-02-04T22:31:59.619211,2021-06-13T16:17:31.694,7,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,208,Las Palmas,male,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,2609,José Luis Munuera Montero,214,Spain,618,Francisco Martín Ayestarán Barandiarán,Pako Ayestarán,1963-02-05,214,Spain,227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,214,Spain
9642,2017-10-14,20:45:00.000,1,1,available,scheduled,2022-02-04T22:48:33.627118,2021-06-13T16:17:31.694,8,11,Spain,La Liga,1,2017/2018,212,Atlético Madrid,male,,214,Spain,217,Barcelona,male,,214,Spain,1.1.0,2,2,1,Regular Season,4654,Estadio Wanda Metropolitano,214,Spain,180,Antonio Miguel Mateu Lahoz,214,Spain,227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,214,Spain,230,Diego Pablo Simeone,Diego Simeone,1970-04-28,11,Argentina
9650,2017-10-21,20:45:00.000,2,0,available,scheduled,2022-02-10T20:56:01.885373,2021-06-13T16:17:31.694,9,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,223,Málaga,male,,214,Spain,1.1.0,2,2,1,Regular Season,342,Camp Nou,214,Spain,,,,,505,José Miguel González Martín del Campo,Míchel,1963-03-23,214,Spain,227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,214,Spain
9661,2017-10-28,20:45:00.000,0,2,available,scheduled,2022-02-10T21:47:49.678101,2021-06-13T16:17:31.694,10,11,Spain,La Liga,1,2017/2018,215,Athletic Club,male,,214,Spain,217,Barcelona,male,,214,Spain,1.1.0,2,2,1,Regular Season,345,San Mamés Barria,214,Spain,2434,Juan Martínez Munuera,214,Spain,227,Ernesto Valverde Tejedor,Ernesto Valverde,1964-02-09,214,Spain,210,José Ángel Ziganda Lacunza,José Ángel Ziganda,1966-10-01,214,Spain
